user,rating,date,region,review,helpful
Alexander,5.0," March 7, 2016",Reviewed in the United States ,"You wont go wrong for the price. Just like anything else that you buy through Amazon Prime this guy came to my home quickly. Everything was packed up nicely and well protected with air bags covering the actual keyboard and mouse packaging. Granted, this isn't going to be the best keyboard mouse combo out there but for the price, I don't think you'll find anything better out there. The red lights looks good on both the keyboard and mouse but aren't too bright. The mouse wheel has a nice feel to it but does require a little bit more umph to move it then other mouses sometimes need. The mouse definitely isn't small, but I only have normal size hands for a guy and my handle cradles it just fine. If anyone out there with small hands is wondering if they can use this, my wife (with VERY small hands) says that she really likes how comfortable the mouse is.  The 3 dpi setting are nice and luckily with where the button to change the dpi settings is at, you're not going to accidentally hit it. It's also nice for me switching to a lower or higher dpi depending on the game that I'm playing or the program that I'm using. If you have any questions or anything I'll be happy to answer anyone's about the keyboard or mouse.***EDIT*** I've decided to update this review. After putting in about 200 hours of CS:GO using this keyboard and mouse set up, I feel like I've put it through it's paces. The only issue that I've come up with was binding keys to the mouse buttons 4 and 5. They're a little tough only because instead of using the options menu I had to manually type in the binds through the console. Other than that I've had no issues. The Keyboard is a bit on the louder side but not much more than any mechanical keyboard albeit much louder than a chiclet keyboard would be, but that's to be expected. As far as how noisy it is when I'm gaming, since I'm really only using WASD a bit of the shift key and then tab, I haven't had much noise. The most important thing is that the wife doesn't get annoyed with the noise so there's that. 200 hours later this is still a 5 star extreme bang for the buck keyboard/mouse setup.",4
Fletcher,5.0," July 1, 2018",Reviewed in the United States ,"I've giving this 5-stars in a ""you get what you pay for"" kind of way.Do not expect a full-on Corsair mechanical keyboard with programmable RGB experience from this ultra-low budget setup.I bought this keyboard/mouse to use with a low-investment gaming setup, and for this, it is perfect. The keyboard and mouse work perfectly for this purpose (which is why I evaluate this more like a gaming controller than as a full-on keyboard-and-mouse).It has some odd behaviors like, for example, when I reboot my system it often will not see the keyboard and mouse, and I have to re-plug them. I don't know if this is due to this kit, or to my hardware, though I've never had that problem before with other mice.Although this has RGB, it is ""primative""-- it may or may not fit your needs. It isn't programmable, and there isn't any PC-side software for it. It has several modes you toggle through with a key combination, and then a separate key combination lets you cycle through colors (when appropriate for the particular effect). The keyboard will not remember this setting if unplugged, which would be very frustrating if this were my main keyboard.",3
Carl,3.0," October 19, 2020",Reviewed in the United States ,"HOW TO CONTROL KEYBOARD LIGHTING (turn off pulsing / breathing):LM1 (FN + Insert) = GradientLM2 (FN + Home) = Single Color choice (red, green violet, yellow, cyan, white blue)LM3 (FN + Page Up) = Static RGB combo choice (red-blue-green, green-red-blue, blue-green-red)LM4 ( FN + Delete) = Running & Neon Light Toggle (Colors moving from left-right on the keyboard *annoying*)LM5 (FN + End) = Breathing Backlight ToggleLM6 (FN + Page Down) = On/Off SwitchBrightness (FN + Up/down arrow keys) = Toggle the brightness of LEDs up and downBreathing / moving colors speed (FN + Left/right arrow keys) = changes speed of breathing / moving colors (LM4)REVIEWI felt a need to post the above controls because the first thing I did when I got this keyboard / mouse was to remove it from the box and plug it straight into the computer. I was WRONG about:- This keyboard (S101-3) DOES NOT have supported software.- The lighting controls are done from the keyboard itself.SO when I plugged this keyboard and immediately the keyboard started streaming colors across the keys...WHAT IS GOING ON. This should NOT be the default. Anyways, I looked online for software, but there is none. Then I tried to use the lighting controls on the keyboard and could not figure it out. I had to pull out the manual (see pictures) and I'm copying it here for reference. Hopefully this helps you like it helped me.So there IS a way to choose solid colors. And there IS a way to cycle through colors WITHOUT breathing (which I prefer).Cons:- No software- Confusing when first using.Pros:- QUIET. I know this is a mesh keyboard, but man is this so much quieter than my mechanical keyboard.- LOTS of buttons. I kinda geek out a little about all the options to control things from the push of a button right from the keyboard and this has lots of that.So even though I just started using this I think it will grow on me. Maybe I'll come back and update my review later and give it an extra star if all else is well. Overall I'm now happy with this purchase once I figured out how to use the dang thing.",0
Amazon Customer,1.0," March 2, 2021",Reviewed in the United States ,"First, what is good. The LED lighting is awesome. What's bad...everything else. If you don't need to use the mouse or keyboard for typing or controlling the mouse cursor, then you are good. I had to hook up my old crappy keyboard and mouse just to be able to submit this review. Apparently, Red Dragon doesn't include drivers for these and they are ""supposed"" to auto find the drivers. They do not. I had to search on 3rd party sites to try and find anything, and apparently it is a widespread problem. Everyday I spend an unusual amount of time just getting everything reloaded to where it works correctly. But each day it is a problem. The keyboard keys do not know their function. Sometimes every key is an ""Enter"". Sometimes the shift key only works depending on if it is left or right and which other key you are trying to use. i.e. the right shift works with letters, the left shift only works with numbers. It makes typing impossible. It will randomly get stuck on Enter no matter what key you hit. The mouse hangs and lags or just disappears completely from the screen and I have to wait for it to repopulate. I have reached out to Red Dragon with no response. But, the lights are nice........smdh.",1
Robin Lynn Frank,5.0," April 21, 2021",Reviewed in the United States ,"First, I'm not a gamer, so why did I get this keyboard?  Simple, I needed to use my computer, at night, without turning the room lights on.  I didn't need all the fancy lighting schemes, but a simple white works very nicely.  The keyboard is well constructed and the keys give you the feel that you need.  They aren't completely silent, but the sound level is definitely no objectionable.  The extra keys at the top are quite handy.  If I want to nitpick, the only negative I can find is that the contrast between the characters and the key's background, is not as great as it could be in some room lighting conditions, but hey, that's what backlighting is for.  BTW, the keys are easily read with the backlighting.The mouse fits my hand perfectly.  The old one that came with my computer was too small.  The various DPI levels are more than ample for my needs.  The only thing I could complain about is that the macros for the side buttons seem to be sequential, only without provision for concurrent key presses such as, Ctrl-C, or Ctrl-V, as far as I can determine.  But since it's designed for gaming, rather than copying and pasting.  It's not its fault.",0
Steve K.,4.0," May 22, 2020",Reviewed in the United States ,"This is a good backlit keyboard for the price, but the included mouse is a painful nightmare. The keyboard has several colors, pattern options, and brightness level that let you choose between something flashy or less distracting. Letters, numbers, and symbols are large and easy to see clearly when illuminated. Keys are a good large size and very comfortable to type on for a long time, without being loud enough to bother other people a few feet away. The biggest downside is that the keys are too dark to read with the backlight off, so you will always need the backlight on to use it. There is also a very bright red LED for the Num Lock indicator that you may want cover with a piece of black tape. Overall, though it is a good backlit keyboard for all day typing and better than expected for $40-$50.The included mouse, however, is small and anyone with larger than average hands will have to be clutching it wiht your whole hand tightly wrapped around it. The mouse also doesn't slide easily on a mousepad so you must also hold it tighter and push harder to move, which made my hand and wrist ache almost immediately. I tracked down mouse customization software on the manufacturer's website and still couldn't make the mouse any easier to move. The mouse also has bright red lights that can't be customized or turned off to avoid distractions or eye strain.",0
J,1.0," February 3, 2021",Reviewed in the United States ,"The mouse is OK. It mouses. The problem is this pulsating red light that is set, BY DEFAULT, to pulse, forever, with no end. You can't work, you can't sleep, you can't do anything, but shield your eyes from this pulsating nightmare. Oh, but there's relief you say! Download the software you say! First of all, why are you making me do this? Why is the light setting set to 'INFURIATE THE USER' by default? Why do I need software to attempt to end this nightmare?Anyway, I downloaded the software, and there is indeed an option to turn the light off. And it works!Just kidding lol. In a random number of days after you turn it off, it comes back on, and you need to open the software and toggle the setting again, even though the setting is still set to off. So you need to turn it ON, then OFF again, then it will be OFF...until it decides to come back on. Why? Because F YOU that's why!",1
walter wiseman,3.0," May 7, 2020",Reviewed in the United States ,"so if you want a cheap but useful keyboard and mouse then you couldn't go wrong, everything works, but the lack of software and having to use the keyboard shortcuts to change colors is a slight annoyance but you can get use to it. Searched their website for the software for the model number but no luck. Everything seems to work the way it should, the only complaints that i have at this time, (granted i just got it today and its only a few hours old). The number line and the f key line only lights half of the keys, by half i mean you can see the keys all the way across but half of the key is not illuminated. The mouse seems to work great, when switching DPI functions it works the way it should but i did notice that it tends not to retain the setting from time to time. All and all good functional keyboard and mouse with its little issues.",1
Cam,3.0," September 23, 2019",Reviewed in the United States ,"I actually quite love this setup.  I needed a backlit keyboard for use in a very dark environment and this keyboard and mouse set is awesome!  So, why only 3 stars?  BOTH devices fail to recall their settings after every single shut down and boot.  It would be well worth the extra few pennies it would cost to throw in a tiny bit of memory, and would have received 5 stars.  To me, it's annoying enough to knock off 2 stars.My other complains is the lack of driver support for either of these devices.  The combination set isn't even listed on Redragon's website, and after searching for them separately for some time, I was disappointed to find they don't have software packages anyways.",1
John Roh,4.0," February 8, 2019",Reviewed in the United States ,"The instructions are beyond bad- go to the website for redragonusa doc com/downloads and grab drivers for the mouse there- But the Keyboard ""lighting"" info comes with Zero instructions - Use the FN Key + look for [LM1] through [LM5] [Insert, Home, Page Up, Delete, End keys] and Finally the annoying display calms down. also the up down arrows with the FN key softens or brightens the colors too.Simple instructions would make it so much easier and yet non-existing on the box or instructions. (facepalm)But anyways... now that it's all working great... I like it and could happily recommend it.5 stars if the instructions were better-:-)",4
Charlie,5.0," September 16, 2020",Reviewed in the United States ,"I have been working from a computer for over a decade and I do not know why this is the first time I've actually invested in a quality keyboard and mouse. It does make a difference, a significant improvement! I used to think I was just a sloppy typist and blamed myself for constantly having to go back and fix words in my sentences. After an hour of typing on this keyboard - I quickly realized that I am a GREAT typist and that my cheap ""dollar store"" quality keyboards I've used in the past were the issue! I found myself flying through emails, never having to look down at the keyboard, and trusting that every letter and number I type would actually work and type as intended. The keys feel great, they are responsive and sensitive, and they all work perfectly.I had no interests in the color changing abilities of the keyboard- I just wanted something functional and high quality. - BUT I will add that the color changing is incredibly easy. I looked at the direction book for 30 seconds and realized I can choose any color I want, I can have rainbow colors, transitioning colors, breathing/fading or turn the lights off/on - the options are all very easily to cycle through by selecting the FN ( function key) and any combination of the (insert) ( home) (end) (delete) (page up) (page down) keys. Its very easy to remember and allows the user to select any number of colors or combinations of colors.These are my first impressions of the keyboard- but I am very impressed and agree with the rest of the 5 star ratings. This keyboard has all the functionality I am looking for and the color changing ability and options are easy to use/change and remember. 5/5 stars.UPDATE - Months later, and a few hundred hours of typing and this keyboard has not let me down! I love it and have not had any issues with quality or anything malfunctioning or breaking. Keys still feel great, have not gotten slow or sticky at all. 5/5 Stars.",0
J. Hochkins,1.0," March 17, 2021",Reviewed in the United States ,"I purchase this keyboard for my daughter to play light games on her PC for Christmas. I didn't expect it to be amazing for the price, but I expected it to last more than 3 months without having it flake out. It started not working  when pressing the keys but the lights were on, the mouse worked. The mouse would get stuck as well on the screen and not move on screen. I am not to the point where it works but then after a while, I have to restart her computer and try again. Works sometimes and sometimes the restart didn't work. I don't recommend this set due to it having issues only after a few months and now looking for another one.",1
Xman,1.0," February 5, 2021",Reviewed in the United States ,"I wanted to like this keyboard, I really did. But I just couldn't after the issues I experienced in a week.I purchased this keyboard for my home to use with my laptop. The first one that came in, the ""enter"" key never worked. And after installing the mouse software, it kept popping up an error that the device must be connected to launch the software. And it did this with every USB port & my USB hub.I contacted Amazon & they sent me another one. The mouse software got re-downloaded & re-installed. Gave the same error. I contacted Redragon, and they sent another software version, which still gave the same error. Fine, I could live with that, though it was a little bit annoying not being able to program the keys.The keyboard didn't remember the RGB settings when I booted up the computer, so I had to change it every time from the scrolling RGB lights. Additionally, it would occasionally type multiple characters when I typed a single character. For example, I would press ""p"" and it would type ""p0"" or ""0p00"" or some other combination. or ""p0-"" or the keys would stick.I wanted to like this (looks nice, mouse feels comfortable, I liked the backlight), but I just couldn't. I've returned both keyboard/mouse combos and will be switching to another brand.",1
Bridgette Moll,1.0," March 23, 2020",Reviewed in the United States ,"the mouse works but not the keyboard. i got the keyboard and hooked it up and it worked beautifully for about 3 days before the enter key was a bit touche.i tried to fix it in 20 different ways none of them worked, and all the keys around the enter button would hit enter when you hit them. as time when on it just kept getting worse and worse the shift key wouldn't work on the left hand side and if it was pressed it would shut down the rest of the keyboard.the only way i've found to get it to work is to unplug it and completely uninstall all traces of it and then plug it back in and then STILL it breaks in less then 30 minutes on my computer. i don't recommend this keyboard to anyone and i don't recommend this company to anyone they don't even have the drivers online for the keyboard or in the package. even when i had another keyboard hooked up to type, it infected the other keyboard so that after every keystroke it pressed enter and it did it until i unplugged the shitty thing.",1
Mr RTGARCIA,5.0," November 5, 2019",Reviewed in the United States ,"In a short time using the keyboard and the mouse, I have fallen in love with the features and buttery smoothness of use.  I love the feel of the keys on the keyboard and makes typing a joy.  Smooth and the key travel has a nice feel for an assurance of the feedback click and clacking of the keys.  The mouse is so smooth and nice to move about the pages and tabs.  Also, has the buttons and keys with an assurance of accurate usage. I am not a gamer per se, but I love these types of devices to make my time on my computer enjoyable and very smooth. I have had other types of keyboards and mouses.  Wireless and with direct wire connections but never truly satisfied with the action and usage of the devices.  At times it would feel like a chore in engaging with the devices.  Making my typing assignments a nightmare in attempting to type what is needed in a timely manner.  I love my Redragon keyboard and mouse, for the price, it is a sound investment for the time spent on my computer to type out emails, reports, or my future best-selling novel.  Fantastic product and devices.",0
N. George,2.0," January 1, 2021",Reviewed in the United States ,"I liked it, it was light weight, flashing lights... I thought it would be a good replacement for my very old Blackweb (I loved that Keyboard, and it's still going strong.) I had to replace that one because my new sitting set up, it was to big and bulky for where I was gaming now, also they don't make Blackweb anymore or I would have gotten a smaller Blackweb.My problem is now the Left Shift key doesn't work with the Z key anymore at all (I have to use the cap locks key to get a big Z), it works with all the other letters, and I can't use the Left Shift key with the Enter Key anymore, I have to use the right one which is weird. The other thing is the Right Shift Key won't Capitalize the Z key either.  It's not like I use that letter often, but sometimes I do... and the enter thing is a pain in the butt. I won't be getting this keyboard brand anymore... I am sorry but four months and it's breaking... I am not even that rough or hard on my keyboards.  The mouse is also starting to get shoddy to... not always working I have to unplug it and plug it back in.",0
Harold Schofield,1.0," March 6, 2021",Reviewed in the United States ,"Price was indeed too good to be true.  After reboot, my PC won't even recognize the keyboard.  I searched for a link for drivers, but all I get is a 404 Bad Page error.  Tried to Contact Support, but my message isn't getting sent (bad link there as well...)  The mouse comes with customizable buttons, but of course you need some software that doesn't exist to use it!  Otherwise, the lighting is quite dim, the keys are quite sticky feeling, the mouse is too small and far from 'ergonomic' (plus doesn't even match the motif of the keyboard, so why sell as a combo?!?)  Not even going to bother returning it.  I learned my lesson.",1
dotdeadgirl,5.0," February 27, 2021",Reviewed in the United States ,"I got the mouse and keyboard about twenty-minutes ago. I wanted to leave a review (refer to headline) in regards to delivery etc.I ordered this yesterday (Friday 26th 2021) and it's not even twenty-four hours, so probs to the seller and post people for that.The packaging was on perfect order and I was happy with that.I'm using the keyboard now and so far, it's easy to use and the keys are not super loud. The keyboard looks fine, I'm happy with the lights. They keys are a good size and so is the keyboard.The mouse feels a little weird for me (I'm using to having keys on side, if you play W.o.W you will understand, maybe?) That's on me though, that is something I will have to get used to. It feels right in my hand, it's got different speeds for the cursor, a bonus as my kiddo likes to use my pc sometimes and they slow down the cursor.I'll add more of a review next month but for now, I am happy with the delivery time, the packaging and how it feels.",0
Maggie,5.0," January 31, 2020",Reviewed in the United States ,"The whole thing feels very nice to use and isn't as loud as some other gaming keyboards I've heard in the past. While you definitely hear the keys the noise isn't obnoxious and quiet enough that you can't even really hear it with headphones on (which is how I spend most of my time anyway) if you're using your gaming PC as a work computer as well you shouldn't have any issue using this for prolonged periods of time even if you're typing a lot.The mouse is pretty cool as well and the only issues I'm having (just after setting it up) are definitely user errors. I can't get fn+home to set it to a solid color but the home button works and the other commands work perfectly. The instructions are a little vague at first on how to do certain things but enough clicking around on the mouse (which desperately needed it's DPI changed out of the box IMO) got me to where I needed it.Edit: There's three home buttons on this thing, if you want the solid color background you need to hit the home button between the ""insert"" and ""page up"" keys. Just in case anyone out there was like me and very confused by what they were doing wrong for a good five minutes.",0
Michael Nickolson,1.0," February 12, 2019",Reviewed in the United States ,"I purchased this keyboard and ended up returning the first one because I thought it was a defect. It kept randomly turning off on all function levels. Not just lighting. It completely would not be usable at all. I could not have a 15 minute typing session without it turning off at least 6 times. I got the second one only to find out it did the exact same thing. My pc is new so I know it was not that. I checked Redragon online support. DONT BOTHER. 4 email support tickets and a month later, 2 keyboards and I have returned all of their product. They do NOT answer you about any of their product when you have an issue. I purchased another keyboard mouse combo and it has been running smoothly and perfectly since. Save yourself the headache and do not buy their products. Look neat, doesnt work worth a crap and zero customer support. FYI they only got 1 star because you HAVE to give one to post.",3
spl42,5.0," December 5, 2020",Reviewed in the United States ,So I'll be honest this is my first gaming mouse and keyboard.  I saw it was an Amazon Choice and was $39 for the pair and they had RGB. So I'm thinking well I'll give it a try.  Even though it's only three weeks till Christmas I still got my keyboard with 3-4 days was of course very easy to set up just plug in and it's ready no need to do anything on your computer. I had to read the manual just to figure out how to set color on the keyboard which was very easy.  The keyboard itself is very nice and quiet soft keys very bright.  The mouse as well very bright the cable on the mouse is nice because it's red and black which matches my computer table.  This is not one of those really big mouse I'd say average size the RGB is very nice and bright as well just remember to take of the sticker peel on the bottom otherwise the mouse moves slow.  I would recommend this to anyone who might want a gaming keyboard and mouse but doesn't want to spend over $100 a piece for them.,0
Alyssa,1.0," June 12, 2021",Reviewed in the United States ,"The keyboard and mouse work ok. But if you want ANY information on the mouse you have to go to the website and download software. None of my antivirus and antimalware will let me go to the site. When I give it permission Chrome forces you to add an extension to the browser without explanation as to why. Why should I have to add an extension to my web browser simply to go to their site and download the software I need to make the lights stop blinking on the mouse? I can't even tell if they are supposed to blink. If they blink due to low batteries, and if so where the hell do the batteries go? There's literally nothing in the ""manual"" that explains anything about the mouse.Take some time Redragon to put information about both products in the manual. I have spent too much time trying to figure out a mouse and the stupid lights blinking on it. Plug-n-play? Please....",1
Fred Kremer,5.0," January 7, 2020",Reviewed in the United States ,"I have a fair amount of screen real estate that I use for video and soundtrack editing. I recently vastly improved my computer resources, MB, RAM, GPU and CPU (Threadripper), CAT 7 cabling, everything is bigger, better and faster, except my wireless mouse and keyboard. A decrease in accuracy, dependability and speed were slowing me down. I dusted off an old USB wired mouse and keyboard and viola, it was a little better. I like positive feedback from the keyboard. I also like back lit keyboards. I like stability in the mouse and great travel distance in small moves when needed. And, I like to feel the mouse, smooth is nice but texture is better. Quick button, short travel results are appreciated. And $$ need to be conserved. So, I took a chance on a “gaming” keyboard and mouse. No regrets with this Red Dragon S101-3 combo. Now after several hours of work, I could not be happier. Accuracy, speed, stability and tactile feedback are A plus. I very much appreciate the adjustable dpi.  The shortcut buttons are a nice, and welcome addition. The bonus is the bling in the variety of backlit options easily changed. Never thought I would care about that, but it is fun.",1
Wooden Nichols,5.0," June 6, 2021",Reviewed in the United States ,"For under $40, this is a nice keyboard / mouse set.I had some odd quirky problems initially when I plugged in the mouse and keyboard, but after restarting and removing and plugging the devices back into the USB ports they worked fine.The keyboard LED lighting is changeable by using the FN key and selecting Insert / Home / Delete / Pg Up / Pg Down / End.The keyboard also includes a series of built in FN + Fx (x=1-12) short cuts that use the Windows default setting for the various applications (media controls, search, home, email, and my computer).The mouse button assignments and pre-assigned and the mouse speed is adjustable with one of the buttons on the mouse (4 DPI settings).There is no software for the keyboard or mouse to alter the functionality that is built into the keyboard or mouse.  Also no apparent way of assigning LED key colors like on a higher end solution like a Razor keyboard.",0
BD,3.0," June 18, 2021",Reviewed in the United States ,"This without doubt is a cheap price.  It is a little disappointing that it is simply impossible to get the software to recognize and customize the mouse as advertised on current version of Windows 10.  First of all the site that is referenced on the box redragonusa.com to get the software doesn't even function.  I am fairly confident the other redragon websites that you find on a Google searches are for other countries causing the mouse customization app to not detect the mouse is connected.  Spent hours trying to get it to work to no avail.  I really like the keyboard, the only downside is the leds are a little dim.  The mouse would likely have been satisfactory as well.  However, without the ability to install the software and customize the mouse buttons, it is just junk.  In addition to not being able to program the buttons, the pulsing light function on the mouse is just annoying.  I ended up tossing the mouse.",0
Ridonkulous,1.0," January 18, 2021",Reviewed in the United States ,"Appeared to be working until random ""phantom"" keystrokes started. I would randomly get the ""-"" (dash) keystroke corrupting spelling, password entries, ...etc. Some keys like the ""@"" key would not work unless pressed with the right ""Shift"" instead of left. When waking computer up from sleep the keyboard would continually submit phantom keys in the password field until it felt like stopping which was roughly 15 seconds worth of data. Tried the keyboard on multiple computers with the same issues. Overall extremely disappointed that the keyboard didn't even serve the purpose of being a reliable input device. Will not buy again.",1
Sergo Gelashvili,4.0," January 18, 2018",Reviewed in the United States ,"Great keyboard for the price, more than i expected. Typing is very comfortable and the product is well built. It's nice that you can change backlit options from the keyboard itself but i would like to have some software as well because there is no option to adjust every key separately. Overall i am very pleased.As for the mouse, i am a little disappointed. Firstly, it is ridiculously heavy, i removed all of the weight pieces and it's still noticeably heavier than my previous mouse. Probably because the mouse isn't small at all, anything larger would be too large. People with large hands will like it though.Secondly, it lacks accuracy for a gaming mouse. Adjusting dpi both with and without software (the software is quite good but unfortunately it should be on all the time like MSI Afterburner) gave me headache, it is always either too fast, too slow or both at the same time!Probably, i had too high expectations from a low budget product because my previous mouse was just perfect which i got a long time ago for like 10$.So, 5 stars for the keyboard + 3.5 stars for the mouse = 4 stars for the combo.",3
Allen K. Steele,5.0," January 19, 2020",Reviewed in the United States ,"I have had this for several months now. This is not a perfect keyboard. However, for the price it is amazing. The only two cons I can think of are that 1) the plastic it's made of feels slightly cheap, but it has held up to daily use very well. 2)  When you shut down your computer, it forgets the color setting you put it on and defaults to rainbow mode. (putting the computer to sleep does not reset color selection) Changing the color settings are very simple, though, and it only takes me a second to get it back in my preferred mode. As for pros, the colors are bright but not too distracting. The keys have a satisfying action and feel very responsive. It has just the right amount of mechanical keyboard noise for me without being overly clicky-clacky.The mouse that comes with the keyboard is simple but solid. It only lights up in red, it's not RGB. However, I bought this keyboard set because I already had experience using this brand of mouse and wanted another one for my new pc. As a casual gamer, this set perfectly fills my needs and I will most likely buy it again.",0
Tennisshoes,5.0," January 27, 2018",Reviewed in the United States ,"Easy install, plug and play so no software needed, I wish the print was larger in the instructions, but after reading it and finding what keys change the colors everything works as it should, I really like the way you can change the whole weight of the mouse, makes it feel well planted and the movements are very precise. Keyboard is almost silent when pressing the keys, no more click click click when typing, and that did take a little getting use too but not long. I found that the default settings work well for what I'm doing so I doubt I'll be changing any of those. So for the price it is a good buy and the quality seems to be very good. I would recommend this combo for anyone that wants something better than a standard keyboard and has some flare too it.",5
TB2009,3.0," June 28, 2020",Reviewed in the United States ,"Bought this package for the keyboard, as I wanted something that could be backlit.  I didn't really care about the mouse, but since it was part of the package, figured ""what the hell""...The mouse would be nice, EXCEPT the driver software that controls all of its functionality does not work unless the mouse is plugged directly into the PC.  If you have a KVM switch, the driver software will refuse to start up.  If you try to get around this by temporarily plugging the mouse into the PC directly and configuring it with the driver software, those settings will be LOST once you disconnect it and plug it back into your KVM switch.This wouldn't be a dealbreaker, EXCEPT the mouse's default lighting mode is a throbbing red light, which is not suitable for some rooms (a bedroom, etc).  There's no way to turn it off unless you plug the mouse directly into the PC, and LEAVE IT permanently plugged into the PC.The keyboard seems fine, but many of the ""special functions"" (mute button, volume controls, etc) don't seem to work either (even after a reboot), which leaves me to wonder whether it needs to be plugged directly into the PC as well in order for ALL the functionality to work.Long story short, if you use a KVM switch, think long and hard about buying this package...  you might end up disappointed when you see all the features you DON'T get to use.",0
Meow,4.0," August 2, 2018",Reviewed in the United States ,"Nice nylon braided cables.Good mouse. Adjustable weight. Mouse bright LED can be disabled via an app.Keyboard is... not as good as expected. Entire body is not sturdy enough, keys creak when pressed. Never had the same issue with logitech.But, I believe it's still the best LED keyboard for the price.Have a limited budget but in need of an LED keyboard? Buy it. It works.Ready so spend more? Go for something else.UPD:My initial review had 3 stars. Now I've added another star for good customer support. Those guys contacted me immediately after the initial review and offered a refund (~4 months after I bought a product). I did NOT return a product and did NOT requested a refund as I still think that this is the best LED keyboard for the price.",1
Charlie,2.0," December 17, 2019",Reviewed in the United States ,"While I wasn't expecting much from a $30 KBM RGB combo, I was shocked to find what I did when I opened this particular order. The package was shipped in the manufactures box, so when the delivery personnel left said package on my front door step, any one and everyone could see I what I ordered, and could have stolen it at any moment. On top of that, the box was slightly damaged, from shipping understandably. Upon open the box was where the real troubles arise. The Keyboard had smudges on it, as if it had already been used by a semi pro gamer who lived off of mountain dew and cheetos. Easily wiped off, but still concerning. The topper, was the product sticker on the bottom of the mouse. It looked like it had been peeled by an anxiety ridden worker in the process of packaging. That, or was adhered with watered down elmers glue. The last thing I noticed, was the logo on top op the keyboard was upside down. I'm not sure if thats the design of the keyboard, but it definitely looks out of place.As far as functionality goes, the keyboard and the mouse seem to work just fine for now. The mouse being weighted with all the weights, still ended up being lighter than my old, unweighted mouse. The mouse has one led mode. Red. While the keyboard has 6 modes, all accessible via the FN key and the key cluster above the arrow keys, as well as utilizing the arrow keys to adjust pulse length and brightness.",1
B. Hannum,3.0," June 4, 2021",Reviewed in the United States ,"The keyboard is fine, but the mouse is underwhelming, and I'll explain why.First off, when I went to look for the program to configure the mouse, it falls under S601 now, not S101 as it is stated. That caused a bit of confusion.Secondly; the DPI toggle is one button. Most gaming mice have 2 buttons to toggle the DPI up and down on the fly. With a 1 button setup, if I am on Setting 2 (1200 DPI) and want to switch to Setting 1 (600 DPI), I cannot toggle UP. I have to go through Settings 3, 4, & 5, and THEN back to 1.That's pretty bad, given that gaming in fist-person shooters is frequently done with a high DPI to look around, then a low DPI to precisely aim. With my old, $20 mouse, I could toggle up and down. With this mouse, I have to frantically mash the DPI toggle to get back to a lower setting.Secondly: Other programmable mouse I have had frequently have different colors for different DPI settings.This mouse has one tiny strip-light that flashes at different speeds, just below the toggle button...In the center of the mouse...Where your hand will be covering it. If you look in the picture, the DPI toggle button looks like a chevron/ arrow pointing down at the light that flashes.Just two horrible design choices that make the mouse pretty lousy for gaming.But at least the keyboard is nice and quiet and feels nice to use.And the mouse feels nice in my hand. It's just got bad ideas, design-wise.",1
Buyer named Dale,4.0," June 15, 2020",Reviewed in the United States ,"Very quiet.  Tested with colleague and he can barely hear me typing while on a call which is why I bought it.  Great tactile feel.  Would be 5 star, but I can't seem to set the default LED scheme of mouse dpi.  I use the keyboard and mouse on a switch between my work laptop and my personal desktop.  Everytime I swap back and forth the LED scheme resets back to the annoying blinking rainbow.  I have to reset it to a steady single color glow each time.  Same with the mouse and dpi setting.  I have to reset it each time.  Not hard to reset each time, but certainly annoying.",1
Jacob Croom,5.0," December 8, 2018",Reviewed in the United States ,"Hey, I've been using an 11$ keyboard I got from biglots for the past 9 or 10 years, so this review is in that scope.This keyboard starts up boasting a rainbow lightshow that can easily be turned off or changed by holding the FN key near right shift and interacting with the arrow keys, and the block of keys containing prnt screen and delete and so on.I immediately noticed how quiet the key presses are compared to my previous keyboard I used. There seems to be slightly more keys as well, though I'm not sure what. I don't really know what people look for in keyboards to give a helpful review, uhhhh....the gaps are big enough to easily allow crumbs and cheeto dust to fall through, or be blown back out I suppose. I really like the lights and adjustable colors, brightness, and fluctuation patterns. Feels super sci fi and I just love that. The cord has a fabric covering with a velcro retainer strap that allows the wire to be shortened pretty easily, so that's kinda gankster. The mouse is okay. The buttons on it feel likd of wobbly and fragile, like it's made of very thin and inflexible plastic potato chips, but the two thumb buttons have a smooth one and a ridged one, allowing touch recognition. Overall it is totally suiting my purpose.",0
James Paul Williams,1.0," April 26, 2020",Reviewed in the United States ,"In the game I play, function keys are used to move from one position to another in a vehicle.  When I press any one of them, it is interpreted as a mapping to some (at this point USELESS) utility like ""help"" or notepad. This YANKS YOU OUT OF THE GAME, typically at a critical time.  There's no documentation that says how to turn this ""feature"" off, so you're stuck with it. For a keyboard advertised as a ""gaming"" keyboard, I would expect something that works IN GAMES.  This makes the keyboard worse than the one I replaced.",2
